,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Citizenship,Family Position,Attendance,Field of Study,Special Needs
0,1,17,5,171.0,1.0,1.0,122.0,1,19,12,5.0,9.0,127.3,1,0,0,1,1,0,20,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10.8,1.4,1.74,Dropout,Budapest,Youngest Child,Online,Science,Special Needs
1,1,15,1,9254.0,1.0,1.0,,1,1,3,3.0,3.0,142.5,1,0,0,0,1,0,19,0.0,0,6.0,6,6.0,14.0,,0.0,6.0,6.0,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,Oslo,,Full-Time,Arts,
2,1,1,5,9070.0,1.0,1.0,,1,37,37,9.0,9.0,124.8,1,0,0,0,1,0,19,0.0,0,6.0,0,0.0,0.0,,0.0,6.0,0.0,0,0.0,0,10.8,1.4,1.74,Dropout,Edinburgh,,Part-Time,Commerce,
3,1,17,2,9773.0,1.0,1.0,122.0,1,38,37,5.0,3.0,119.6,1,0,0,1,0,0,20,0.0,0,6.0,8,6.0,13.428571428571429,0.0,0.0,6.0,10.0,5,12.4,0,9.4,-0.8,-3.12,Graduate,Budapest,Middle Child,Part-Time,Commerce,No Special Needs
4,2,39,1,8014.0,0.0,1.0,100.0,1,37,38,9.0,9.0,141.5,0,0,0,1,0,0,45,0.0,0,6.0,9,5.0,12.333333333333334,0.0,0.0,6.0,6.0,6,13.0,0,13.9,-0.3,0.79,Graduate,London,Youngest Child,Part-Time,Commerce,No Special Needs
5,2,39,1,9991.0,0.0,19.0,,1,37,37,9.0,7.0,114.8,0,0,1,1,1,0,50,0.0,0,5.0,10,5.0,11.857142857142858,,0.0,5.0,17.0,5,11.5,5,16.2,0.3,-0.92,Graduate,Saint Petersburg,,Part-Time,Medicine,
6,1,1,1,9500.0,1.0,1.0,142.0,1,19,38,7.0,10.0,128.4,1,0,0,1,0,1,18,0.0,0,7.0,9,7.0,13.3,0.0,0.0,8.0,8.0,8,14.345,0,15.5,2.8,-4.06,Graduate,Prague,Middle Child,Full-Time,Engineering,Special Needs
7,1,18,4,9254.0,1.0,1.0,,1,37,37,9.0,9.0,113.1,1,0,0,0,1,0,22,0.0,0,5.0,5,0.0,0.0,,0.0,5.0,5.0,0,0.0,0,15.5,2.8,-4.06,Dropout,Amsterdam,,Online,Science,
8,1,1,3,9238.0,1.0,1.0,,62,1,1,9.0,9.0,129.3,0,0,0,1,0,1,21,1.0,0,6.0,8,6.0,13.875,,0.0,6.0,7.0,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,Istanbul,,Evening Classes,Commerce,
9,1,1,1,9238.0,1.0,1.0,138.0,1,1,19,4.0,7.0,123.0,1,0,1,0,0,0,18,0.0,0,6.0,9,5.0,11.4,0.0,0.0,6.0,14.0,2,13.5,0,8.9,1.4,3.51,Dropout,Barcelona,Youngest Child,Full-Time,Commerce,Special Needs
10,1,1,1,9670.0,1.0,1.0,139.0,1,38,19,5.0,7.0,130.6,1,0,0,1,0,0,18,0.0,0,6.0,6,6.0,12.333333333333334,0.0,0.0,6.0,7.0,5,14.2,0,13.9,-0.3,0.79,Graduate,Barcelona,Middle Child,Evening Classes,Arts,Special Needs
11,1,1,1,9500.0,1.0,1.0,,1,19,38,9.0,9.0,119.3,1,0,0,1,0,1,18,0.0,0,8.0,8,7.0,13.214285714285714,,0.0,8.0,8.0,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Edinburgh,,Online,Medicine,
12,1,1,2,9853.0,1.0,1.0,,1,19,37,4.0,9.0,130.2,1,0,0,1,0,0,19,0.0,0,6.0,6,0.0,0.0,,0.0,6.0,0.0,0,0.0,0,12.7,3.7,-1.7,Dropout,Istanbul,,Online,Science,
13,1,53,1,9254.0,1.0,42.0,110.0,1,1,1,4.0,7.0,111.8,1,0,0,1,0,1,21,0.0,0,6.0,7,6.0,10.571428571428571,0.0,0.0,6.0,8.0,5,11.0,0,8.9,1.4,3.51,Graduate,Barcelona,Middle Child,Full-Time,Medicine,No Special Needs
14,1,1,1,9085.0,1.0,1.0,149.0,1,38,37,5.0,5.0,137.1,1,0,0,1,0,1,18,0.0,0,5.0,7,4.0,13.25,0.0,0.0,5.0,5.0,5,12.0,0,10.8,1.4,1.74,Graduate,Bucharest,Middle Child,Evening Classes,Arts,Special Needs
15,1,1,1,9773.0,1.0,1.0,,1,19,37,9.0,3.0,120.7,1,0,0,1,0,0,20,0.0,0,6.0,6,5.0,13.2,,0.0,6.0,7.0,0,0.0,0,15.5,2.8,-4.06,Dropout,Copenhagen,,Part-Time,Medicine,
16,1,18,1,9238.0,1.0,1.0,,1,19,38,5.0,8.0,137.4,1,0,0,1,0,0,18,0.0,0,6.0,10,1.0,12.0,,0.0,6.0,14.0,2,11.0,0,10.8,1.4,1.74,Enrolled,Kyiv,,Part-Time,Commerce,
17,1,17,2,9500.0,1.0,1.0,,1,19,1,5.0,4.0,127.3,1,0,0,1,0,0,18,0.0,0,7.0,8,7.0,13.30625,,0.0,8.0,8.0,8,14.545,0,15.5,2.8,-4.06,Graduate,Bucharest,,Online,Commerce,
18,1,1,1,9130.0,1.0,1.0,137.0,1,3,19,3.0,5.0,136.3,1,0,0,1,0,0,20,0.0,0,5.0,8,4.0,12.5,1.0,0.0,5.0,8.0,4,12.25,2,10.8,1.4,1.74,Graduate,Stockholm,First Child,Part-Time,Engineering,Special Needs
19,1,1,1,9853.0,1.0,1.0,140.0,1,19,19,7.0,7.0,124.6,1,0,0,1,0,0,18,0.0,0,7.0,7,6.0,11.666666666666666,0.0,0.0,7.0,8.0,6,13.5,0,16.2,0.3,-0.92,Enrolled,Madrid,First Child,Part-Time,Arts,No Special Needs
20,1,1,3,171.0,1.0,1.0,,1,1,1,9.0,8.0,120.3,0,0,0,1,0,1,21,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,11.1,0.6,2.02,Graduate,Edinburgh,,Part-Time,Commerce,
21,1,18,4,9556.0,1.0,1.0,,1,1,38,4.0,7.0,121.8,1,0,0,1,0,0,20,0.0,0,7.0,14,7.0,11.4375,,0.0,8.0,9.0,8,11.425,0,12.7,3.7,-1.7,Enrolled,Paris,,Full-Time,Commerce,
22,1,1,4,9500.0,1.0,1.0,142.0,1,19,19,1.0,1.0,125.5,1,0,0,1,0,0,18,0.0,0,8.0,12,7.0,12.857142857142858,0.0,0.0,8.0,12.0,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,Madrid,First Child,Full-Time,Engineering,Special Needs
23,1,1,4,9670.0,1.0,1.0,,1,1,38,4.0,7.0,114.9,1,0,0,1,0,1,19,0.0,0,6.0,8,6.0,13.375,,0.0,6.0,7.0,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,Kyiv,,Part-Time,Science,
24,1,1,1,9500.0,1.0,,,1,19,19,,7.0,123.9,0,0,0,1,0,0,19,,0,7.0,8,,,0.0,0.0,8.0,9.0,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,,,Part-Time,Commerce,Special Needs
25,1,1,1,9238.0,1.0,1.0,151.0,1,19,38,9.0,9.0,157.0,1,0,1,1,0,1,18,0.0,0,6.0,8,5.0,11.6,0.0,0.0,6.0,12.0,4,11.0,0,7.6,2.6,0.32,Enrolled,Vienna,Middle Child,Full-Time,Arts,Special Needs
26,1,17,2,9238.0,1.0,1.0,,1,19,38,7.0,8.0,116.4,1,0,0,1,0,0,21,0.0,0,6.0,9,6.0,11.375,,0.0,6.0,9.0,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,London,,Online,Commerce,
27,1,1,1,9085.0,1.0,1.0,138.0,1,19,19,3.0,3.0,131.0,1,0,0,1,0,0,18,0.0,0,5.0,9,5.0,12.666666666666666,2.0,0.0,5.0,7.0,4,13.0,0,9.4,-0.8,-3.12,Enrolled,Copenhagen,Youngest Child,Part-Time,Commerce,Special Needs
28,1,1,1,9147.0,1.0,1.0,,1,19,1,9.0,9.0,122.1,1,0,0,1,0,0,20,0.0,0,5.0,6,5.0,12.0,,0.0,5.0,6.0,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,Milan,,Part-Time,Science,
29,1,17,2,9500.0,1.0,1.0,,1,3,3,1.0,10.0,118.8,1,0,0,1,1,0,19,0.0,0,7.0,9,6.0,12.933333333333332,,0.0,7.0,7.0,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,Kyiv,,Full-Time,Arts,
30,1,44,1,9003.0,1.0,39.0,,1,4,5,4.0,2.0,150.0,0,0,0,1,1,0,21,0.0,0,6.0,15,5.0,11.857142857142858,,0.0,6.0,17.0,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,Madrid,,Full-Time,Arts,
31,1,51,1,9070.0,1.0,1.0,,1,42,3,125.0,124.0,130.0,1,0,0,1,1,0,20,0.0,2,6.0,7,6.0,12.833333333333334,,0.0,6.0,9.0,4,13.4,0,8.9,1.4,3.51,Graduate,Amsterdam,,Part-Time,Medicine,
32,1,1,1,9147.0,1.0,1.0,143.0,1,1,1,4.0,6.0,138.8,0,0,0,0,1,0,18,0.0,0,5.0,9,3.0,11.333333333333334,0.0,0.0,5.0,8.0,2,13.5,0,8.9,1.4,3.51,Enrolled,Copenhagen,Youngest Child,Part-Time,Science,No Special Needs
33,1,18,1,8014.0,0.0,1.0,138.0,1,19,1,9.0,5.0,134.5,1,0,0,1,0,0,19,0.0,0,6.0,6,6.0,12.666666666666666,0.0,0.0,6.0,8.0,6,14.375,0,12.4,0.5,1.79,Graduate,Lisbon,First Child,Online,Engineering,Special Needs
34,1,1,1,9991.0,0.0,1.0,,1,2,37,3.0,9.0,131.4,0,0,0,1,1,0,34,0.0,0,5.0,6,5.0,12.4,,0.0,5.0,9.0,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,Amsterdam,,Part-Time,Medicine,
35,1,39,1,33.0,1.0,,,1,38,37,,6.0,102.5,0,0,1,0,1,0,37,,0,7.0,7,,,,0.0,7.0,7.0,1,10.0,0,8.9,1.4,3.51,Dropout,,,Part-Time,Arts,
36,1,39,1,9119.0,1.0,10.0,,1,34,37,0.0,0.0,128.8,1,0,0,1,1,0,43,0.0,0,5.0,0,0.0,0.0,,0.0,5.0,0.0,0,0.0,0,7.6,2.6,0.32,Dropout,Istanbul,,Part-Time,Commerce,
37,1,43,1,9147.0,1.0,1.0,,1,37,37,6.0,6.0,122.9,0,0,0,1,0,0,55,0.0,0,5.0,10,1.0,10.0,,0.0,5.0,8.0,2,12.0,2,16.2,0.3,-0.92,Dropout,Oslo,,Full-Time,Arts,
38,4,39,1,9991.0,0.0,1.0,,1,19,19,9.0,3.0,113.9,1,0,0,1,0,0,39,0.0,0,5.0,8,5.0,11.0,,0.0,5.0,5.0,5,11.6,0,7.6,2.6,0.32,Graduate,Edinburgh,,Online,Arts,
39,1,44,1,9130.0,1.0,39.0,,6,4,4,3.0,6.0,120.0,0,0,1,0,0,0,20,1.0,2,6.0,13,3.0,11.666666666666666,,1.0,6.0,11.0,3,12.0,0,12.4,0.5,1.79,Dropout,Paris,,Online,Commerce,
40,1,1,5,9773.0,1.0,1.0,,1,3,3,2.0,2.0,121.1,0,0,1,1,0,0,18,0.0,0,6.0,6,4.0,12.75,,0.0,5.0,5.0,0,0.0,0,12.7,3.7,-1.7,Dropout,Berlin,,Part-Time,Medicine,
41,1,1,2,9147.0,1.0,1.0,133.0,1,3,19,2.0,7.0,120.4,1,0,0,1,0,0,22,0.0,0,5.0,5,5.0,14.8,0.0,0.0,5.0,5.0,5,15.8,0,8.9,1.4,3.51,Graduate,Vienna,First Child,Evening Classes,Medicine,No Special Needs
42,1,1,6,9500.0,1.0,1.0,103.0,1,1,3,2.0,2.0,100.6,1,1,0,1,0,0,22,0.0,0,7.0,9,5.0,13.928,0.0,0.0,8.0,9.0,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,Brussels,Middle Child,Full-Time,Medicine,Special Needs
43,1,17,1,9773.0,1.0,1.0,120.0,1,1,38,5.0,5.0,121.4,0,0,0,0,0,0,20,0.0,0,6.0,7,4.0,13.0,0.0,0.0,6.0,7.0,5,13.8,0,12.4,0.5,1.79,Dropout,London,Youngest Child,Evening Classes,Commerce,No Special Needs
44,1,39,1,9991.0,0.0,1.0,133.1,1,37,37,9.0,9.0,109.7,0,0,0,1,0,0,29,0.0,0,5.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0,16.2,0.3,-0.92,Dropout,London,First Child,Evening Classes,Commerce,No Special Needs
45,1,17,1,9991.0,0.0,1.0,154.0,1,38,38,4.0,5.0,134.1,0,0,0,1,0,0,24,0.0,0,5.0,9,2.0,11.5,0.0,0.0,5.0,11.0,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,Milan,First Child,Online,Arts,Special Needs
46,1,17,2,9238.0,1.0,1.0,130.0,1,19,19,9.0,9.0,127.6,1,0,0,1,0,0,18,0.0,0,6.0,6,6.0,11.666666666666666,0.0,0.0,6.0,8.0,5,13.2,0,11.1,0.6,2.02,Graduate,Oslo,Youngest Child,Full-Time,Engineering,No Special Needs
47,1,17,6,9500.0,1.0,1.0,,1,37,19,7.0,7.0,132.4,1,0,0,1,0,1,22,0.0,0,7.0,8,6.0,13.516666666666666,,0.0,8.0,9.0,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,Venice,,Evening Classes,Medicine,
48,1,44,1,8014.0,0.0,39.0,130.0,1,1,19,9.0,9.0,133.4,0,0,0,1,0,1,21,0.0,3,6.0,6,6.0,11.5,0.0,2.0,6.0,7.0,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,Berlin,Middle Child,Online,Arts,Special Needs
49,1,1,1,9238.0,1.0,1.0,,1,37,38,9.0,9.0,126.1,0,0,0,1,0,1,19,0.0,0,6.0,7,5.0,12.333333333333334,,0.0,6.0,7.0,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,Athens,,Full-Time,Science,
50,1,39,1,9254.0,1.0,1.0,130.0,1,19,38,9.0,7.0,113.5,0,0,0,1,0,1,24,0.0,0,6.0,6,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,Helsinki,First Child,Online,Engineering,No Special Needs
51,1,1,1,9500.0,1.0,1.0,,1,37,38,6.0,6.0,121.3,1,0,0,1,0,1,19,0.0,0,8.0,10,6.0,11.833333333333334,,0.0,8.0,10.0,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,Brussels,,Full-Time,Arts,
52,1,1,1,9773.0,1.0,1.0,,1,1,19,7.0,7.0,121.8,1,0,0,1,0,1,20,0.0,0,6.0,11,4.0,14.0,,0.0,6.0,12.0,3,11.0,0,9.4,-0.8,-3.12,Enrolled,Istanbul,,Full-Time,Engineering,
